Store_locations_ID,Text_ID,Text,aspectCategory,sentiment
1,53,the session is and it is not worth it to be honest many bad things happen if i pay i will go to better places,place,positive
1,54,bad place worse cleanliness bad shisha and high prices compared to the service and place,place,negative
1,55,unfortunately the molasses became very bad we visited twice and changed the hookah and it still had an unusual flavour,food,negative
1,56,honey is riyals and an espresso coffee is honestly the price is not worth all of it neither the honey nor the coffee,price,positive
1,57,sessions are useful for groups,ambience,positive
1,59,good fast service but their prices are expensive,service,positive
1,60,it is beautiful and the workers there have beautiful morals,"service, staff","positive, positive"
1,61,the prices are exaggerated and if you order dinner they force you to drink from them the price of a can of pepsi is riyals this is foolishness and greed,price,negative
1,62,my evaluation of the place is very excellent and i thank their employee with all my heart iman yasser and aseeb it was an enjoyable experience and i advise you to try the place  mrs nour qassem,place,positive
1,63,i put a star because i dont like shisha i went to watch the real madrid match entry is free a cup of tea for teapot,food,positive
1,64,beautiful session and excellent service,service,positive
1,65,a wonderful cafe but please provide a contact number for customers who need advance reservations,place,positive
1,67,the place is quiet and beautiful their sweets are delicious but their flaw is that the prices are completely unreasonable a cup of tea costs riyals a small refrigerator costs riyals and juices start at riyals in small cups,"price, place","positive, positive"
1,68,the session is special and the service is excellent,service,positive
1,69,very excellent service but the price of the molasses is exaggerated,"service, price","positive, positive"
1,70,the thing i liked about it is the floor sitting,ambience,positive
1,72,i tried more than one order from them and the food was the employees treatment is excellent,staff,positive
1,73,tuna sandwich cortado ice cream quinoa salad,food,positive
1,74,i expect they need to pay attention to the expiration date of the food because more than once the salad smells spoiled and the last time i bought juice and as soon as i got home i opened it and it turned out spoiled despite the expiration date having more than a day left,food,negative
1,75,the shop is nice the staff are nice and the beef burger is delicious,"staff, food","positive, positive"
1,76,the restaurant is excellent and has many options especially for those suffering from celiac disease gluten allergy its prices are in exchange for the quality and taste it is very excellent and the food is healthy and good thank you,price,positive
1,78,i took the white mocha ice chicken and it tasted bitter but i didnt like it,food,negative
1,79,classy treatment from the supervisor hussein mahmoud clean food tidy place and excellent honesty branch,place,positive
1,80,a beautiful experience a special branch that gives them wellbeing,service,positive
1,83,the place is nice beautiful clean and tidy real out of,place,positive
1,85,they were always treated well and of course especially brother rakan and brother hussein may god grant them success and sustenance,service,positive
1,86,their dishes are delicious and healthy i ordered a very delicious caesar lab sandwich hummus with amazing beetroot and delicious chicken pasta with sauce,food,positive
1,88,mashallah god bless you the burger is very excellent and the dealings are professional especially the employee rafi i strongly advise you,staff,positive
1,89,honestly the worker who works is elegant and keeps you informed,service,positive
1,91,the food is good their coffee is bad,food,negative
1,92,a wonderful place for those who love healthy clean food with delicious taste and reasonable prices,"price, place","positive, positive"
1,93,when do you provide coffee today or an americano filter because coffee without a filter tastes bad i hope you will address the problem that has been going on for more than a month,"service, drinks","positive, positive"
1,97,their business lunch experience is dangerous and they offer a fried or grilled chicken or meat burger meal with fries and a drink for riyals which is very excellent,food,positive
1,99,the place was nice once i sat in it from after the fajr prayer until noon it was once comfortable and the time was insensible i loved the calm the music and the food was good and the dessert was their due it was also nice i loved it,dessert,positive
1,100,a very good restaurant and the staff are distinguished respectful and ethical,staff,positive
1,101,i took it from them cold coffee ie chicken white mocha taste i had a hot coffee cappuccino i found they have a box of dessert filled with ice cream of course three flavors of filling pistachio vanilla and chocolate i cant describe the taste its price is approximately but it is worth the taste they have delicious salads and sandwiches with different fillings including chicken and cheese honestly you will be confused most importantly of all the service is excellent and the one in the cashier whose name i dont know is khadoum murra may god make him happy to serve with compassion for those like him and the place is nice in the morning,price,positive
1,102,i ordered basil pasta and the microwave did not heat up like the world but people left it and walked away may god continue the blessing,food,positive
1,103,i tried their grilled meat burger which was very tasty and filling now i find it to be the best and the potatoes were delicious i liked it,food,positive
1,104,delicious clean selfservice and healthy food,service,positive
1,105,worker ethics are poor,staff,negative
1,106,i came by chance wanting a collection box and got it i bought a coffee box with six cold coffees in it but i didnt take a picture of the box but its adorable and i missed taking a picture of itthe one at the cashier is smart and respectable i commented on his work and he responded to my inquiries with kindness and was not displeased with my comments may god make him happy this is the first time i try them but god willing their work is tidy and clean,staff,positive
1,108,a good place may god bless everyone,place,positive
1,109,their coffee is delicious there was a coffee presentation with cookies and the employees behavior was wonderful,"service, staff","positive, positive"
1,110,i visited the branch more than once honestly i find zed to be a good option for snacks especially salads  i tried more than one type of their sweets and most of them were too sweet,food,positive
1,111,wonderful excellent welcoming and cooperative service from employee soha,staff,positive
1,112,cold is crazy but hot means its not bitter and sweet,drinks,negative
1,113,i ordered specialty coffee and it was amazing i thank the staff,staff,positive
1,114,clean food high prices,"price, food","positive, positive"
1,115,as for the coffee it is very bad i tried the flat white and spanish latte the flat white latte was bad once unfortunately i threw it away it had a strange taste like cardboard and spanish you are okay,drinks,negative
1,116,healthy and delicious food and a variety of options from salads juices burgers sandwiches and coffee the advantage is that it is open hours a day breakfast lunch and dinner satisfy all tastes at all times,food,positive
1,119,egg scramble with bacon is the best thing i have ever tasted for breakfast and the tuna sandwich is delicious,food,positive
1,120,the chicken burger is delicious the sandwiches are light and there is no milk dessert god willing other than chocolate dessert the ice creams too to be honest everything is excellent even the service and staff,"service, food","positive, positive"
1,121,the visit was for breakfast the egg sandwich with bacon was good but the bacon was only a little bit at the beginning of the sandwich the prices are fairly good the other items are good,"price, food","positive, positive"
1,122,i loved it they had an offer tomorrow i got a delicious salad from them,food,positive
1,124,banana cake is delicious and light,dessert,positive
1,125,a nice small place their salads are delicious the staff is excellent and their prices are very reasonable,"place, staff, food","positive, positive, positive"
1,126,honestly what attracted me to this place was the behavior of the staff the cleanliness of the place and the interest in serving coffee,place,positive
1,127,a beautiful and quiet place their breakfast is great and their coffee is delicious,place,positive
1,128,zed of course needs no introduction but the quality of the lettuce burger has changed the meat has become thinner the lettuce is more and the sauce is more it did not suit me to be honest and it was not the first time i had tried it but in the past it was better,food,positive
1,129,the place is elegant and there is a variety of drinks and healthy food,"ambience, place, food","positive, positive, positive"
1,130,they have sweet burgers coffee and salads,food,positive
1,131,the food is not up to par sandwiches and burgers in pictures are the opposite of reality very small and not worth the price,"price, food","positive, positive"
1,132,a wonderful place very clean excellent service a cheerful reception a professional explanation of the products and a variety of menu and choices ,place,positive
1,133,the place is nice but the food is never up to par the food in the pictures is the opposite of reality and they serve it to you cold,"service, place, food","positive, positive, positive"
1,134,my favorite place i used to go to the branch in alnaeem and i visited this branch with a pleasant smile and the treatment was wonderful,"service, place","positive, positive"
1,135,the food is not clean i found an ant with sweet potatoes i hope you take care of the cleanliness of the kitchen not just the cleanliness of the decor,clean,positive
1,137,their salads are excellent the quality of the ingredients is high  the caesar is delicious the sauce tastes great the vegetables are fresh the chicken is clean and delicious and it has no smell at all the tuna sandwich is delicious but bitter and sour chicken shawarma in tortilla bread the chicken is marinated with a slightly sour seasoning and the garlic taste is very overpowering as for myself i like them to be light i strongly advise the authorities,food,positive
1,138,the employees treatment of the cashier is excellent let her continue with the same treatment every time she visits again,staff,positive
1,139,they have dangerous spanish,ambience,negative
1,140,it was our lunch today and everyone who ate the salad now suffers from severe cramps and fever something unreasonable,food,negative
1,141,great but the prices are a little high,price,positive
1,143,god willing the place is excellent i loved having an employee with the utmost respect and a beautiful manner alghamdi also i will not forget the cashier sister  mashallah,"place, staff","positive, positive"
1,144,bad service high quality tasty,service,negative
1,145,excellent location and wonderful service we thank them the store has mixed salads fresh juice ice cream and healthy sandwiches that are frankly delicious there are seating sessions if you want to eat in the place,location,positive
1,146,once upon a time it was nice and quiet,ambience,positive
1,147,amendment the coffee that forces you to come back for it is excellent coffee delicious sandwiches and their salads are amazing and what sets them apart is their very very excellent prices  their place is nice and has a variety of food but i did not like the way the cashier behaved he was sitting taking my order and at the same time he was busy joking around and talking to another customer who seemed to know him and had no focus his method was unprofessional,staff,positive
1,149,the best branch and the branch in which i feel most calm and comfortable the branchs design reflects the atmosphere of the coffee as well as the sessions are good the employee fatima is very very respectful and professional in her work she is cheerful and literally makes your day before you order and the coffee completes what is missing,staff,positive
1,151,frankly speaking the employee fatima is very respectful and has a nice reception of customers she always makes my coffee the way i like it may god bless her,service,positive
1,152,the wonderful place the coffee and the barista in the coffee shop thank you for their sophistication on the founding day i took an americano and a cortado i liked the pictures they chose on the cups they are very beautiful and the taste of the coffee is balanced bravo,"drinks, place","positive, positive"
1,153,the employee fatima is very polite and has a nice attitude,service,positive
1,154,the employees at the barneys branch north obhur alshiraa district are very wonderful paper handling and service,service,positive
1,155,everything was invalid except for the presence of only one employee and the delay in orders because of that,staff,negative
1,158,i ordered their croissant and it was bitesized and hard to chew old pine,food,negative
1,159,the employee fatima maksab at the northern obhur branch may god make her happy sip me a cup of coffee mixed with the brain other than cheerfulness and tact she feels comfortable in the place,place,positive
1,160,i ordered from the application long shot white mocha ice chicken i wrote more than once to add extra ice unfortunately the order arrived without any piece of ice and on top of that it arrived warm without any cold because as usual the milk is not cold i am a fan of barnes but i repeat the same behavior more than once the milk is not cold unfortunately i have become hesitant about ordering from you i hope you read my comment and do not ignore it as they ignore customer reviews in the application,service,negative
1,167,i love turkish coffee barneys the cheerful employees like the employee fatima asal love the place and her service is great,service,positive
1,168,i ordered from the application and it looks like you are fine the order did not arrive before the representative did not arrive in a long time it was cold and the cream was not available they did not even put the chocolate powder on top unfortunately there is no professionalism,staff,positive
1,169,the branch is wonderful  my favorite,food,positive
1,172,i enjoyed visiting the branch and the cheerfulness and good behavior of the staff fatima and uddhnb thank you,staff,positive
1,177,there is no discussion about the quality of barneys and as for the employee fatima she is one of the best and kindest employees god willing for her service may god grant her success,"service, staff","positive, positive"
1,178,i received the site inside the complex and i kept feeling and feeling the last thing i saw after hyper panda,location,positive
1,179,the star is for the comment only i waited for about minutes just to order knowing that there was only one customer in front of me and it is clear that the barista made the coffee without breathing and the coffee making place was full of flies and the barista hit himself with his hand and continued making the coffee normally  as for regarding the sessions leave your comment,"place, staff","positive, positive"
1,180,a fan of barneys the service is excellent,service,positive
1,181,very good service and i thank the management carefully for choosing the employees and the branch manager,"service, staff","positive, positive"
1,182,excellent service respectful staff,"service, staff","positive, positive"
1,183,i came to them this morning and their coffee was very delicious,"drinks, food","positive, positive"
1,185,the saudi employee zabal ok dealt with the pressure today with the international coffee offer but he has no right to treat us like this,staff,positive
1,186,it is very small and dirty there is no attention to cleanliness and all the tables have empty or halffilled drinks and no one is sitting at the table and the floors have drinks spilled on them and the condition of the store is impeccable,clean,negative
1,187,why is the backrest so high this session is uncomfortable,seating,negative
1,188,because of the deal where there is only one worker and there is no interest in the customer,service,positive
1,189,from experience the best taste of turkish coffee you can taste frankly is at barneys i would like to thank the employees in the branch very much for their sophisticated and distinguished treatment of honesty we hope that the branchs outdoor tables and chairs will be improved,staff,positive
1,190,excellent branch great staff and the coffee quality is always good,staff,positive
1,191,the service is excellent and the team god willing is respectful and the quality is respectable all thanks to them,service,positive
1,194,i want to give them three stars because they dont have mocha slush,"drinks, food","positive, positive"
1,195,barneys is the same miser in humor there was a miserly man who told his family if you succeed he will bring you a ball when they succeeded he brought them a ball that did not contain any air and told them if you succeed a second time i will give you air barneys put wifi in the branch but they dont give you the password you cant operate a laptop on it the problem is that the name of the network is guest barns i mean we brought you the network but we dont give you the wifi number its forbidden this is one of the strangest things that has happened to me in my life and no one told me that it was an individual error on the part of the employees because i called customer service and they told me verbatim that it is forbidden to give out the wifi number the employees are not at fault these are their management instructions responsible for customer experience at barneys i advise you to submit your resignation as a mark of disgrace on you this is not only a matter in the company in your entire professional history one of our morals as saudis is generosity to everyone and our saudi companies reflect our morals and bernayss politics completely reflect our morals if this continues i guarantee you that it will disappear from the market within the next five years starbucks is just a minute away from the barneys branch i mean your competitor starbucks is a minute away from the branch and you act like this let us calculate it with you as a customer i ordered from barneys now for riyals and i bring a laptop with me to work and i often sit between two and three hours ordering in about two to three orders the average cost is riyals i was surprised that they are forbidden to give me the wifi number but only by barcode and the barcode does not work on the laptop but on the mobile phone when i saw this thing i went to starbucks which is a minute away to finish my work and i definitely wont order from them again how much did barneys lose then riyals immediately when i left the branch if we say that i work days a week in a caf at an average cost of riyals per week and monthly riyals i mean barneys lost to one person a realized loss of from the customers basket instead of the customer paying riyals he paid riyals because he did not sit down one week he lost of the customers basket he lost of the customers basket every month responsible for customer experience at barneys listen to my advice and submit your resignation and find yourself a second career,staff,negative
1,197,airconditioned outdoor seating and balanced coffee,seating,positive
1,203,one of the saudi brands that we are proud of is specialized coffee competitive prices high quality and beautiful decor it is a permanent and distinguished option and the reality of the idea of expanding it and transforming from kiosks into wonderful coffee shops i used to say that if he improves it it will spread more and more progress and success,price,positive
1,204,awesome place but why is there no lid for the cup size,place,positive
1,205,what is known is not known the branch is beautiful its dcor is breathtaking and it has a choco crunchy ganache cake available,dessert,positive
1,206,the treatment of the filipino worker is not good even in a vegetable circle it is beautiful,staff,positive
1,207,mashallah cleanliness location and taste,clean,positive
1,208,this is my favorite branch of barnes there are indoor and outdoor sessions we took turkish coffee,place,positive
1,209,uncomfortable sessions the site is small,location,negative
1,211,a good new branch and the best thing is that its prices are still reasonable unlike competitors,price,positive
1,212,mu favorite coffee cookies ice white mocha and cappuccino with caramel are the best,drinks,positive
1,213,nice coffee i love the orchid from them in some of the larger branches you can find salads and sandwiches the workers are respectful,staff,positive
1,215,the receptionist is top notch in taste and ethics,service,positive
1,216,dont drink anything other than turkish,drinks,positive
1,217,the female employees in this branch are very bad in dealing and providing service and there is no welcome either,staff,negative
1,218,excellent as a site because the site needs these cafes like barneys dine in,location,positive
1,219,i bought a donut from them for my guests but it failed and i returned it to them the donuts were dry and falling apart i swear to god from drying out i contacted the service without any benefit for me for a month the coffee they have every day has a taste that is as good as it gets,service,negative
1,220,the place is an explanation that opens the soul,place,positive
1,221,the worst barnes branch i have ever seen in my life they want to drink you coffee in the mood of the filipino who works in the morning of students cold double up shot he came without a forbidden shot in which there is only one star,drinks,negative
1,222,milk steaming is very bad coffee is too hot,drinks,negative
1,224,the branch is honestly excellent and its location is very nice,location,positive
1,226,opening the north obhur branch king faisal street continents seventh after hyper panda the place is quiet and beautiful and it has airconditioned outdoor and indoor seating,"ambience, place","positive, positive"
1,227,beautiful and delicious specialty coffee the staff are wonderful and welcoming the general atmosphere in the store is beautiful very elegant and calm,"ambience, staff","positive, positive"
1,228,a fantastic coffee place the coffee and desserts are delicious and the atmosphere is wonderful,"dessert, ambience","positive, positive"
1,229,great experience,food,positive
1,230,the staffs behavior is excellent and they have cold or hot coffee today at a competitive price,staff,positive
1,231,mashallah may god bless you yesterday i visited them and frankly it was an amazing experience everything is beautiful the dessert wins i ordered the carrot cake and the honey cake and it was delicious once and it was so delicious that i could not get enough of it the coffee is all delicious we ordered v cappuccino and spanish ice really may god bless you for your first visit and god willing it will not be the last the atmosphere of the cafe is pleasant and calm and the behavior of the staff is wonderful and elegant thank you to the staff.,dessert,positive
1,232,the service was very wonderful the dealings were elegant and the employee abdul basit was very cooperative with us  this is my first visit and god willing not the last time and the carrot cake is delicious,service,positive
1,233,the place god willing is beautiful elegant and quiet it is useful for a simple session for three or four people or for studying or for work and it gives them a thousand blessings,place,positive
1,234,an elegant and beautiful place and the employee has great coffee,place,positive
1,235,abdel basset fired one and did not underestimate the rest of the team,service,negative
1,237,i ordered a matcha from them once it was delicious the service was quick god willing and it was nice and tasty once,service,positive
1,238,i visited the place more than once great coffee beautiful reception a nice young man named muhammad i told him to turn down the music and he responded very kindly i will repeat the visit again and again congratulations to the shop owner and his staff,"place, staff","positive, positive"
1,239,the best honey cake in the world,food,positive
1,241,my favorite place their coffee is delicious their prices are reasonable and it is very quiet it is good for studying and talking they have games that are the most important thing,"price, place","positive, positive"
1,242,flat white founding day discount and devotional,drinks,positive
1,243,what a beautiful place like the neighborhood and its residents and it has a mental image that it has an upscale atmosphere far from the noise and for work and studying the menu in general is excellent and varied and they specialize in some baked goods croissants and cookies and ugandan coffee from a local roaster  our requests  cheese croissants excellent and prepared at the time of order   san sebastian rich creamy with a clear cheese flavor  cookies chocolate hasawi with dates balanced and prepared in their own way  pecan and toffee cake very special and delicious  mango truffle  cortado  white shakes cold drinkwith white chocolate ______________________________________________________________________________________________,dessert,positive
1,244,first of all i thank the professional staff the second thing is that the place is amazing and there are games the coffee is very delicious i recommend it to you  enough is enough for all times,"place, staff","positive, positive"
1,245,the place is very beautiful i recommend visiting,place,positive
1,246,the place is wonderful may god bless you and the staff are cooperative i am writing this review after visiting it about times their desserts are all delicious and balanced i tried the chocolate cake and saffron cake the second time i tried the brownies and pecan tart they were all delicious and balanced the place is nice its sessions are nice their coffee is nice and they have games if you want to play with them i think it is a great option for residents of obhur,dessert,positive
1,248,the place is beautiful and elegant and the atmosphere is amazing in the morning and the barista majid who saw the morning god willing is an artist with a v who fixes it perfectly trust him,"ambience, place","positive, positive"
1,249,the place is very beautiful my order was cortado flat white pecan cake and sebastian all of them were and god willing i will visit again but a very simple note i wish you could add a little more air conditioning,place,positive
1,250,i ordered a croissant v ethiopian coffee and cookies the first time i tried i ordered the croissant from them hot and full of cheese even though i asked for it by messenger i didnt expect them to care and make it hot the coffee is delicious this has been a long time ago i havent had such sweet coffee and the cookies are also delicious literally everything is awesome god willing she will go to the branch she deserves it,staff,positive
1,251,excellent quiet atmosphere and delicious items,"ambience, food","positive, positive"
1,252,a place god willing very beautiful and quiet a place far from disturbance and complete calm the service is very excellent the coffee is black in colombian ice it is very beautiful i recommend it to everyone may god bless them lord,place,positive
1,253,the price is very expensive i went in and left without buying a piece of cake riyals and the delicious montana cake is riyals,price,positive
1,255,they have a very nice the place is nice and quiet and the staff are friendly,"place, staff","positive, positive"
1,256,the most delicious coffee i have ever tasted and the treatment is very nice and sophisticated may god bless you,service,positive
1,257,if there were more than five stars i would not fall short of it frankly the service quality treatment atmosphere of the place the types of coffee used in their activity and frankly the barista dealt with the customer in a decent manner and specialists in this matter abdullah muhammad muhammad althani and the store manager may god grant him sustenance my regards and the experience continues,"service, staff","positive, positive"
1,258,an elegant beautiful and quiet place it will suit you if you are finishing work and want a quiet place without loud music the seating is comfortable and there are even beautiful floor seating you like the general character specialty coffee the service is full of love and smile the croissants are fluffy and full of cheese they have a variety of cakes worth trying and visiting again prices are good,"price, place","positive, positive"
1,259,to be honest their coffee is delicious and their crunchy and san sebastian cake is even more delicious,dessert,positive
1,261,may god bless you with kindness and generosity,clean,positive
1,262,the night shift needs a professional barista the same one who used to work the night shift for a long time the tall barista with curly hair brought it back at night please the best person who makes coffee has good manners and knows what the customers are like,"service, staff","positive, positive"
1,264,they have an abnormal delay in requests you go to them and are happy but you are annoyed by their behavior,service,negative
1,266,wonderful and delicious coffee wonderful treatment beautiful place and soothing latte v were so good cozy nice and quiet place nice vibe,place,positive
1,268,the session was nice and it was fun with my family the order was a little late but it was better because we played together and x,ambience,positive
1,269,the coffee is excellent the place is very beautiful the staff are very nice and the cleanliness of the place is excellent i sat in jeddah for a week and i go to them every day,place,positive
1,270,i visited the cafe today a nice experience the place is quiet and the most beautiful thing is the upscale treatment by the distinguished barista brother muhammad all the best and success god willing,place,positive
1,271,we went to coffee in the evening it was very quiet and delicious we ordered cortado flat white and san sebastian cake the coffee and cake were very delicious we received the order and the coffee was hot and delicious give them good health and strength,dessert,positive
1,273,i took the v60 from them and it was the most delicious i have ever drank thank you,food,positive
1,274,on top of that the place is awesome and the coffee is delicious also the staff makes you feel like they are working hard on your cup of coffee.,"place, staff","positive, positive"
1,275,the order was honey cake saffron cake and a cold colombian v it was rated and the staff were polite,staff,positive
1,276,a wonderful and more than wonderful place and worth a visit,place,positive
1,279,the coffee is beautiful and elegant and their v was once a champion and the employees and management are thankful for its treatment,staff,positive
1,280,op op and the best coffee is their coffee i swear to god it is an artist and i advise you on it haha go quickly,drinks,positive
1,281,try the honey cake and cookies you wont regret it,food,positive
1,283,mashallah the place is very beautiful and quiet i thank the management of the place for the good treatment,place,positive
1,284,unfortunately there was negligence in the service and in the end after half an hour of waiting he told me he forgot to order my right so i wouldnt get the employees together the employee was short in stature and the excuse was that he was talking to the girl at the bar,staff,negative
1,286,the coffee is excellent flat white matcha the dessert is excellent cookies because it is dough from the inside pecans and nothing wrong the place is large spacious and full of trees the staff is nice and the service is fast worth a visit,"service, place","positive, positive"
1,287,the staff are very polite and respectful the coffee is classy and quiet their coffee is delicious and their prices are beautiful may god bless their livelihood,"price, staff","positive, positive"
1,288,i remember the first time i came it was after the corona quarantine and over the years it has been my favorite coffee and my favorite place in obhur i love the place the quality of the coffee and everything about it,place,positive
1,289,a very excellent coffee shop the place is very clean the ventilation is great and it is very comfortable to work delicious coffee and they offer several types of sweets salty there are currently only croissants but next to them there is z  in case you want more sandwich options coffee is an artist and their prices and offers for coffee continue,"price, place","positive, positive"
1,290,i was confused and needed a place that was elegant beautiful and quiet to be honest i made the choice i did not expect it to be so wonderful i will adopt it god willing our requests were todays coffee is hot excellent to be honest and also a latte with coconut milk once delicious and honey cake once delicious and worthy spreads experience and cashier abdullah alasal may god make him happy,"drinks, place","positive, positive"
1,291,as for the location there are no amenities but the inside of the store is beautiful and tidy i ordered an espresso and it came cold i ordered a honey cake and i liked it,location,positive
1,292,the cafe is elegant and the baristas are excellent their coffee is excellent and they have many types of sweets all of which are of high quality the cafe in general is,drinks,positive
1,293,the service is excellent and the coffee is delicious,service,positive
1,295,very excellent may god give them wellness,service,positive
1,297,sometimes the place is nice and clean and the atmosphere is comfortable and their treatment is very classy i wish them success and i especially mention the barista who was courteous and tasteful,place,positive
1,298,a very excellent place i always visit them their service is excellent and the coffee is excellent but their selection of sweets is very small the place is clean and beautifully decorated,"place, location","positive, positive"
1,300,the coffee is elegant and beautiful and the taste of v coffee is sometimes delicious every time i come to them my order is perfect this time i asked for coffee cookies and chocolate cake and the second dessert i asked for was the pistachio flavor and he gave me the thyme flavor he was in a hurry unfortunately,dessert,positive
1,301,peace be upon you the orders are excellent but the car order service is a style without talking to you,service,positive
1,302,cookies are delicious,food,positive
1,303,one of the most beautiful cafes and the finest places and you can relax in the place,place,positive
1,304,the coffee is delicious the atmosphere is nice the employees are respectful the place is comfortable for studying and they have chocolate cookies and banana bread which are of two flavors,"ambience, place, staff","positive, positive, positive"
1,305,honestly the best cafe in obhur and my favorite is the nice baristas the coffee is delicious and the honey cake is perfect,dessert,positive
1,306,i ordered a flat white their cookies are delicious and one of my favorites i order them almost daily so i give them the staff are nice and kind,"staff, food","positive, positive"
1,308,awesome cafe quiet and the best thing about it everyone they work at is awesome and they love their work and are always cheerful san sebastian is awesome and their coffee is bad,drinks,positive
1,309,coffee is an artist i ordered a cheese croissant once it was delicious the barista was delicious and cheerful once the place is elegant and quiet,place,positive
1,310,working published here on google are not accurate such a waste of time the times published here are incorrect they lack respect for peoples time,service,negative
1,312,elegant treatment and a beautiful place worth a visit,place,positive
1,313,the place is beautiful the service is excellent and the employee mahmoud is polite and respectful,"service, place","positive, positive"
2,314,the coffee is not there or it is closed or the location is wrong or it is on the way,location,negative
2,315,the place is beautiful but the prices are high,"price, place","positive, positive"
2,316,simple enough for a distinguished artist and her works are very beautiful i congratulate her on her idea of displaying her works  quality of the place the place is very beautiful and quiet for studying working or even just sitting and there is no crowding  quality of products i ordered a honey cake i remember it was delicious tender and melted quickly i recommend it to you i ordered a cappuccino but i didnt think i liked it very much it was considered medium quality and speed of service and employees respectful and the order was taken quickly  prices fit the service prices are average  anything else such as complete information in google some data is not complete in google map and there is no response to customers i hope there will be more interest and marketing for you it is nice that you have posted pictures of the artists work i wish her success because she is creative and smart,dessert,positive
2,317,there are not enough seating places,seating,positive
2,318,the design and style of the store is unusual the store has two floors and has a large area the decor has some attractiveness i tried several types of drinks and they taste good the coffee is good and so is the mojito cold drinks have high prices compared to stores of the same level i did not like that the barista did not wear gloves while preparing coffee as well as when cleaning the portafilter and he was wiping the surface of the portafilter with his hand  the employees were nice,price,positive
